Dates,DJIA CLOSE,SP500 CLOSE
7/11/2019 15:30,27042.23,2999.76
7/11/2019 17:30,27021.24,2994.17
7/11/2019 19:30,27033.01,2994.31
7/11/2019 21:30,27088.08,2999.91
7/12/2019 15:30,27232.75,3006.5
7/12/2019 17:30,27236.65,3007.07
7/12/2019 19:30,27286.44,3009.56
7/12/2019 21:30,27332.03,3013.77
7/15/2019 15:30,27320.61,3012.25
7/15/2019 17:30,27301.13,3009.99
7/15/2019 19:30,27332.47,3011.82
7/15/2019 21:30,27359.16,3014.3
7/16/2019 15:30,27363.69,3010.45
7/16/2019 17:30,27359.26,3008.01
7/16/2019 19:30,27359.12,3005.27
7/16/2019 21:30,27335.63,3004.04
7/17/2019 15:30,27274.74,2994.73
7/17/2019 17:30,27287.88,2995.25
7/17/2019 19:30,27242.71,2988.37
7/17/2019 21:30,27219.85,2984.42
7/18/2019 15:30,27116.67,2978.46
7/18/2019 17:30,27136.88,2982.57
7/18/2019 19:30,27205.13,2992.7
7/18/2019 21:30,27222.97,2995.11
7/19/2019 15:30,27281.53,2997.25
7/19/2019 17:30,27300.72,2996.44
7/19/2019 19:30,27218.08,2983.88
7/19/2019 21:30,27154.2,2976.61
7/22/2019 15:30,27119.07,2978.59
7/22/2019 17:30,27162.22,2984.41
7/22/2019 19:30,27172.04,2986.05
7/22/2019 21:30,27171.9,2985.03
7/23/2019 15:30,27245.52,2992.54
7/23/2019 17:30,27245.86,2994.58
7/23/2019 19:30,27351.4,3003.61
7/23/2019 21:30,27349.19,3005.47
7/24/2019 15:30,27222.55,3004.83
7/24/2019 17:30,27230.37,3009.86
7/24/2019 19:30,27250.57,3017.4
7/24/2019 21:30,27269.97,3019.56
7/25/2019 15:30,27181.67,3010.27
7/25/2019 17:30,27102.7,3002.12
7/25/2019 19:30,27129.17,3004.09
7/25/2019 21:30,27140.98,3003.67
7/26/2019 15:30,27159.66,3020.4
7/26/2019 17:30,27155.24,3023.43
7/26/2019 19:30,27197.68,3026.55
7/26/2019 21:30,27192.45,3025.86
7/29/2019 15:30,27268.2,3021.23
7/29/2019 17:30,27257.42,3021.79
7/29/2019 19:30,27216.82,3019.73
7/29/2019 21:30,27221.35,3020.97
7/30/2019 15:30,27184.93,3012.6
